date,home_team,away_team,venue
2025-01-11T12:00,NARA,Kinki,FSS35スポーツアリーナ
2025-01-11T13:00,KUBOTA,Kinden,大阪市立東淀川体育館
2025-01-11T13:00,FKAGOSHIMA,Daido,フラゴラアリーナ日置
2025-01-11T14:00,AISIN,FUKUOKA WS,碧南市臨海体育館
2025-01-12T12:00,NARA,Kinki,FSS35スポーツアリーナ
2025-01-12T12:00,FKAGOSHIMA,Daido,フラゴラアリーナ日置
2025-01-12T13:00,AISIN,FUKUOKA WS,碧南市臨海体育館
2025-01-12T13:00,KUBOTA,Kinden,大阪市立東淀川体育館
2025-01-18T12:00,Kinden,HYOGO Delfino,大和郡山市総合公園多目的体育館
2025-01-18T13:00,Chiba,TOKYOVERDY,YohaSアリーナ～本能に、感動を。～
2025-01-18T13:00,FKAGOSHIMA,NARA,フラゴラアリーナ日置
2025-01-18T14:00,Sun GAIA,HOKKAIDO YS,霞ヶ浦文化体育会館
2025-01-18T14:00,R Tochigi,SAITAMA,FUKAI SQUARE GARDEN 足利
2025-01-18T14:00,GaRons,FUJITSU,須坂市市民体育館
2025-01-18T14:00,Kinki,Daido,近畿大学記念会館
2025-01-18T17:00,FUKUOKA WS,VEERTIEN,中間市体育文化センター
2025-01-19T12:00,Chiba,TOKYOVERDY,YohaSアリーナ～本能に、感動を。～
2025-01-19T12:00,GaRons,FUJITSU,須坂市市民体育館
2025-01-19T12:00,Kinki,Daido,近畿大学記念会館
2025-01-19T12:00,Kinden,HYOGO Delfino,大和郡山市総合公園多目的体育館
2025-01-19T12:00,FKAGOSHIMA,NARA,フラゴラアリーナ日置
2025-01-19T13:00,R Tochigi,SAITAMA,FUKAI SQUARE GARDEN 足利
2025-01-19T13:00,FUKUOKA WS,VEERTIEN,中間市体育文化センター
2025-01-19T14:00,Sun GAIA,HOKKAIDO YS,霞ヶ浦文化体育会館
2025-01-25T13:00,KUBOTA,AISIN,Ookini Arena Maishima
2025-01-25T14:00,SAITAMA,FUJITSU,富士見市市民総合体育館
2025-01-25T14:00,Daido,NARA,弥富市総合社会教育センター
2025-01-25T14:00,HYOGO Delfino,FUKUOKA WS,明石中央体育会館
2025-01-25T15:00,HOKKAIDO YS,Chiba,Kitagas Arena Sapporo
2025-01-26T12:00,HYOGO Delfino,FUKUOKA WS,明石中央体育会館
2025-01-26T13:00,Daido,NARA,弥富市総合社会教育センター
2025-01-26T13:00,KUBOTA,AISIN,Ookini Arena Maishima
2025-01-26T14:00,SAITAMA,FUJITSU,富士見市市民総合体育館
2025-01-26T15:00,HOKKAIDO YS,Chiba,Kitagas Arena Sapporo
2025-02-01T12:00,Kinden,Kinki,岸和田市総合体育館
2025-02-01T13:00,HOKKAIDO YS,GaRons,Kitagas Arena Sapporo
2025-02-01T13:00,FUJITSU,Sun GAIA,Culttz Kawasaki
2025-02-01T13:00,KUBOTA,HYOGO Delfino,住吉スポーツセンター
2025-02-01T14:00,R Tochigi,TOKYOVERDY,ブレックスアリーナ宇都宮
2025-02-01T14:00,SAITAMA,Chiba,熊谷市民体育館
2025-02-02T12:00,Kinden,Kinki,岸和田市総合体育館
2025-02-02T13:00,HOKKAIDO YS,GaRons,Kitagas Arena Sapporo
2025-02-02T13:00,R Tochigi,TOKYOVERDY,ブレックスアリーナ宇都宮
2025-02-02T13:00,FUJITSU,Sun GAIA,Culttz Kawasaki
2025-02-02T13:00,KUBOTA,HYOGO Delfino,住吉スポーツセンター
2025-02-02T14:00,SAITAMA,Chiba,熊谷市民体育館
2025-02-08T13:00,FUJITSU,R Tochigi,小田原アリーナ
2025-02-08T13:00,Kinki,FUKUOKA WS,住友化学 新田体育館
2025-02-08T14:00,Daido,AISIN,南知多町総合体育館
2025-02-08T14:00,HYOGO Delfino,VEERTIEN,西脇市総合市民センター
2025-02-08T16:30,Sun GAIA,Chiba,Ikenokawa Sakura Arena
2025-02-09T12:00,HYOGO Delfino,VEERTIEN,西脇市総合市民センター
2025-02-09T12:00,Kinki,FUKUOKA WS,住友化学 新田体育館
2025-02-09T13:00,FUJITSU,R Tochigi,小田原アリーナ
2025-02-09T13:00,Daido,AISIN,南知多町総合体育館
2025-02-09T16:30,Sun GAIA,Chiba,Ikenokawa Sakura Arena
2025-02-15T12:00,Kinden,FKAGOSHIMA,岸和田市総合体育館
2025-02-15T13:00,Chiba,HOKKAIDO YS,YohaSアリーナ～本能に、感動を。～
2025-02-15T13:00,AISIN,HYOGO Delfino,越前市アイシンスポーツアリーナ
2025-02-15T13:00,KUBOTA,Kinki,Baycom General Gymnasium
2025-02-15T14:00,SAITAMA,Sun GAIA,騎西総合体育館
2025-02-15T14:00,TOKYOVERDY,FUJITSU,稲城市総合体育館
2025-02-15T14:00,GaRons,R Tochigi,須坂市市民体育館
2025-02-15T17:00,Daido,VEERTIEN,メディアス体育館ちた
2025-02-15T17:00,FUKUOKA WS,NARA,田川市総合体育館
2025-02-16T12:00,Chiba,HOKKAIDO YS,YohaSアリーナ～本能に、感動を。～
2025-02-16T12:00,GaRons,R Tochigi,須坂市市民体育館
2025-02-16T12:00,Kinden,FKAGOSHIMA,岸和田市総合体育館
2025-02-16T13:00,TOKYOVERDY,FUJITSU,稲城市総合体育館
2025-02-16T13:00,AISIN,HYOGO Delfino,越前市アイシンスポーツアリーナ
2025-02-16T13:00,KUBOTA,Kinki,Baycom General Gymnasium
2025-02-16T13:00,FUKUOKA WS,NARA,田川市総合体育館
2025-02-16T14:00,SAITAMA,Sun GAIA,騎西総合体育館
2025-02-16T14:00,Daido,VEERTIEN,メディアス体育館ちた
2025-02-22T12:00,Kinden,VEERTIEN,Wakayama Prefectural Gymnasium
2025-02-22T13:00,KUBOTA,Daido,Asue Arena Osaka
2025-02-22T13:00,Kinki,NARA,アリーナ 土居
2025-02-22T14:00,TOKYOVERDY,SAITAMA,TBC
2025-02-22T14:00,HYOGO Delfino,FKAGOSHIMA,南あわじ市文化体育館
2025-02-22T16:30,Sun GAIA,GaRons,Tsukuba Capio
2025-02-22T17:00,FUKUOKA WS,AISIN,福岡市民体育館
2025-02-23T12:00,HYOGO Delfino,FKAGOSHIMA,南あわじ市文化体育館
2025-02-23T12:00,Kinden,VEERTIEN,Wakayama Prefectural Gymnasium
2025-02-23T12:00,Kinki,NARA,アリーナ 土居
2025-02-23T13:00,TOKYOVERDY,SAITAMA,TBC
2025-02-23T13:00,KUBOTA,Daido,Asue Arena Osaka
2025-02-23T13:00,FUKUOKA WS,AISIN,福岡市民体育館
2025-02-23T16:30,Sun GAIA,GaRons,Tsukuba Capio
2025-03-01T12:00,NARA,Kinden,ロートアリーナ奈良
2025-03-01T13:00,Chiba,SAITAMA,YohaSアリーナ～本能に、感動を。～
2025-03-01T13:00,FUJITSU,GaRons,宮前スポーツセンター
2025-03-01T13:00,FKAGOSHIMA,Kinki,南さつま市加世田運動公園体育館
2025-03-01T14:00,TOKYOVERDY,R Tochigi,日野市市民の森ふれあいホール
2025-03-01T15:30,VEERTIEN,KUBOTA,Yokkaichi City General Gymnasium
2025-03-02T12:00,Chiba,SAITAMA,YohaSアリーナ～本能に、感動を。～
2025-03-02T12:00,FKAGOSHIMA,Kinki,南さつま市加世田運動公園体育館
2025-03-02T13:00,TOKYOVERDY,R Tochigi,日野市市民の森ふれあいホール
2025-03-02T13:00,FUJITSU,GaRons,宮前スポーツセンター
2025-03-02T13:00,NARA,Kinden,ロートアリーナ奈良
2025-03-02T14:30,VEERTIEN,KUBOTA,Yokkaichi City General Gymnasium
2025-03-08T12:00,NARA,FKAGOSHIMA,西部生涯スポーツセンター
2025-03-08T14:00,R Tochigi,GaRons,FUKAI SQUARE GARDEN 足利
2025-03-08T14:00,AISIN,KUBOTA,碧南市臨海体育館
2025-03-08T14:00,HYOGO Delfino,Kinden,南あわじ市文化体育館
2025-03-08T15:00,HOKKAIDO YS,TOKYOVERDY,Kitagas Arena Sapporo
2025-03-08T16:30,Sun GAIA,SAITAMA,Ikenokawa Sakura Arena
2025-03-08T17:00,FUKUOKA WS,Kinki,福岡市立早良体育館
2025-03-09T12:00,HYOGO Delfino,Kinden,南あわじ市文化体育館
2025-03-09T12:00,NARA,FKAGOSHIMA,西部生涯スポーツセンター
2025-03-09T13:00,R Tochigi,GaRons,FUKAI SQUARE GARDEN 足利
2025-03-09T13:00,AISIN,KUBOTA,碧南市臨海体育館
2025-03-09T13:00,FUKUOKA WS,Kinki,福岡市立早良体育館
2025-03-09T15:00,HOKKAIDO YS,TOKYOVERDY,Kitagas Arena Sapporo
2025-03-09T16:30,Sun GAIA,SAITAMA,Ikenokawa Sakura Arena
2025-03-15T11:00,VEERTIEN,FKAGOSHIMA,亀山市西野公園体育館
2025-03-15T12:00,NARA,HYOGO Delfino,西部生涯スポーツセンター
2025-03-15T13:00,Chiba,R Tochigi,YohaSアリーナ～本能に、感動を。～
2025-03-15T13:00,FUJITSU,TOKYOVERDY,トッケイセキュリティ平塚総合体育館
2025-03-15T14:00,HOKKAIDO YS,Sun GAIA,Hakodate Arena
2025-03-15T14:00,SAITAMA,GaRons,坂戸市民総合運動公園体育館
2025-03-15T14:00,AISIN,Kinki,碧南市臨海体育館
2025-03-15T14:00,Daido,Kinden,メディアス体育館ちた
2025-03-15T17:00,FUKUOKA WS,KUBOTA,飯塚市総合体育館
2025-03-16T10:00,VEERTIEN,FKAGOSHIMA,亀山市西野公園体育館
2025-03-16T12:00,Chiba,R Tochigi,YohaSアリーナ～本能に、感動を。～
2025-03-16T12:00,NARA,HYOGO Delfino,西部生涯スポーツセンター
2025-03-16T13:00,FUJITSU,TOKYOVERDY,トッケイセキュリティ平塚総合体育館
2025-03-16T13:00,AISIN,Kinki,碧南市臨海体育館
2025-03-16T13:00,Daido,Kinden,メディアス体育館ちた
2025-03-16T13:00,FUKUOKA WS,KUBOTA,飯塚市総合体育館
2025-03-16T14:00,HOKKAIDO YS,Sun GAIA,Hakodate Arena
2025-03-16T14:00,SAITAMA,GaRons,坂戸市民総合運動公園体育館
2025-03-22T13:00,FUJITSU,Chiba,川崎市とどろきアリーナ（サブアリーナ）
2025-03-22T13:00,FKAGOSHIMA,AISIN,Fアリーナいちき串木野
2025-03-22T14:00,R Tochigi,Sun GAIA,FUKAI SQUARE GARDEN 足利
2025-03-22T14:00,GaRons,TOKYOVERDY,須坂市北部体育館
2025-03-22T14:00,Daido,FUKUOKA WS,弥富市総合社会教育センター
2025-03-22T15:00,HOKKAIDO YS,SAITAMA,Kitagas Arena Sapporo
2025-03-23T12:00,GaRons,TOKYOVERDY,須坂市北部体育館
2025-03-23T12:00,FKAGOSHIMA,AISIN,Fアリーナいちき串木野
2025-03-23T13:00,R Tochigi,Sun GAIA,FUKAI SQUARE GARDEN 足利
2025-03-23T13:00,FUJITSU,Chiba,川崎市とどろきアリーナ（サブアリーナ）
2025-03-23T13:00,Daido,FUKUOKA WS,弥富市総合社会教育センター
2025-03-23T15:00,HOKKAIDO YS,SAITAMA,Kitagas Arena Sapporo
